key,value,date
Taylor Swift,3,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Jeremih Featuring YG,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Mark Ronson Featuring Bruno Mars,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Ed Sheeran,2,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Hozier,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Maroon 5,2,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Meghan Trainor,2,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Sam Smith,2,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Nick Jonas,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Fall Out Boy,3,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Ariana Grande & The Weeknd,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Big Sean Featuring E-40,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Usher Featuring Juicy J,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Selena Gomez,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
James Newton Howard Featuring Jennifer Lawrence,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Nicki Minaj Featuring Drake Lil Wayne & Chris Brown,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Ellie Goulding,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Pitbull & Ne-Yo,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Rae Sremmurd,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
O.T. Genasis,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Ella Henderson,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
I LOVE MAKONNEN Featuring Drake,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
The Weeknd,2,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Jessie J Ariana Grande & Nicki Minaj,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Mr. Probz,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Tove Lo,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Vance Joy,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Sia,2,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Flo Rida Featuring Sage The Gemini & Lookas,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Alesso Featuring Tove Lo,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Ne-Yo Featuring Juicy J,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
OneRepublic,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Lillywood & Robin Schulz,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Luke Bryan,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Carrie Underwood,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Eric Church,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Florida Georgia Line,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
MAGIC!,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
One Direction,2,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Iggy Azalea Featuring Rita Ora,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Fifth Harmony,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Calvin Harris Featuring John Newman,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Blake Shelton Featuring Ashley Monroe,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Prince Royce Featuring Snoop Dogg,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Sam Hunt,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Rihanna & Kanye West & Paul McCartney,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Thomas Rhett,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Calvin Harris Featuring Ellie Goulding,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
DeJ Loaf,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Nicki Minaj Featuring Beyonce,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Lee Brice,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Jason Aldean,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Tim McGraw,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Imagine Dragons,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
WALK THE MOON,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Chris Brown & Tyga,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Brett Eldredge,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Kelly Clarkson,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Randy Houser,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
Kenny Chesney,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
J. Cole,1,Thu Jan 01 2015 00:00:00 GMT-0500 (EST)
